,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,,consumption_volume_million_gallons,energy_category,longitude,latitude
152,Passadumkeag Windpark LLC,59222,ME,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-68.21,45.07&level=14",-68.21,45.07
153,Passaic Valley Water Commission,50311,NJ,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-74.22999,40.883345&level=14",-74.22999,40.883345
154,"Pastime Farm, LLC",60239,IN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-87.18155,39.52086&level=14",-87.18155,39.52086
155,Pasto Solar,62389,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-76.523763,42.210028&level=14",-76.523763,42.210028
156,"Pastoria Energy Facility, LLC",55656,CA,IPP Non-CHP,"CA, CT",NG,Natural Gas Fired Combined Cycle,972,--,972,Natural Gas,"map/?center=-118.844,34.9556&level=14",-118.844,34.9556
157,Pate Farm,58856,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-79.199444,34.816667&level=14",-79.199444,34.816667
158,Patillas,61230,PR,Electric Utility,--,--,--,,,,Other,"map/?center=-66.019,18.017&level=14",-66.019,18.017
159,Patriot Wind Farm,58614,TX,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-97.640077,27.580489&level=14",-97.640077,27.580489
160,Patriots Stadium,58896,NJ,Commercial Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.551389,40.560556&level=14",-74.551389,40.560556
161,Pattern Gulf Wind,56661,TX,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-97.5994,27.0011&level=14",-97.5994,27.0011
162,Pattern Panhandle Wind 2 LLC,58720,TX,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-101.372778,35.442778&level=14",-101.372778,35.442778
163,Pattern Panhandle Wind LLC,58242,TX,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-101.253056,35.4275&level=14",-101.253056,35.4275
164,Pattern Santa Isabel LLC,61014,PR,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-66.393154,17.971696&level=14",-66.393154,17.971696
165,Patton Wind Farm,57999,PA,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-78.696078,40.63067&level=14",-78.696078,40.63067
166,"Patua Acquisition Project, LLC",58319,NV,IPP Non-CHP,"BT, PV","GEO, SUN",Multiple,,,,Other,"map/?center=-119.073056,39.585833&level=14",-119.073056,39.585833
167,Paulding Wind Farm II,57620,OH,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-84.779166,41.025278&level=14",-84.779166,41.025278
168,Paulding Wind Farm III,60470,OH,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-84.751,41.121&level=14",-84.751,41.121
169,Paulsboro Refinery,50628,NJ,Industrial CHP,"GT, OT, ST","NG, OG, PC",Multiple,,,,Other,"map/?center=-75.2583,39.84&level=14",-75.2583,39.84
170,Paulson Community (CSG),63678,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-93.917023,44.335686&level=14",-93.917023,44.335686
171,Pavant Solar II LLC,60449,UT,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-112.343,39.1625&level=14",-112.343,39.1625
172,Pavant Solar III,60886,UT,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-112.359849,39.154474&level=14",-112.359849,39.154474
173,"Pavant Solar, LLC",59702,UT,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-112.36327,38.960519&level=14",-112.36327,38.960519
174,Pawhuska,2995,OK,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-96.347408,36.669425&level=14",-96.347408,36.669425
175,Pawnee,6248,CO,Electric Utility,ST,SUB,Conventional Steam Coal,1970,0,1970,Coal,"map/?center=-103.6803,40.2217&level=14",-103.6803,40.2217
176,Pawpaw Solar Plant,59894,GA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-84.256778,32.572875&level=14",-84.256778,32.572875
177,Paxton Creek Cogeneration,50373,PA,IPP CHP,IC,NG,Natural Gas Internal Combustion Engine,,,,Natural Gas,"map/?center=-76.8771,40.2653&level=14",-76.8771,40.2653
178,Payne Creek Solar,61665,FL,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-81.964222,27.664583&level=14",-81.964222,27.664583
179,Payne's Ferry,57124,ID,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-115.010833,42.825278&level=14",-115.010833,42.825278
